Amount,Collateral,CustomerID,EndDate,InterestRate,LoanID,LoanType,PaymentFrequency,StartDate,Status
54973.91,particular,407336,2038-07-25,8.95,9328321478780,Auto,Annually,2024-01-24,Defaulted
29914.33,about,441670,2038-06-08,11.31,4900766109094,Auto,Monthly,2023-08-09,Active
6747.55,official,440243,2034-05-18,3.66,7258263750070,Mortgage,Annually,2024-02-13,Closed
28044.32,big,407768,2028-10-17,10.31,7251342603878,Auto,Quarterly,2024-02-16,Active
42543.99,late,446136,2039-04-27,7.28,8733675849116,Personal,Quarterly,2020-11-22,Closed
21289.49,stage,442873,2026-11-25,7.01,1547353841093,Personal,Annually,2021-03-06,Active
19465.42,per,449399,2053-02-13,12.87,9659961050388,Mortgage,Quarterly,2020-06-12,Active
69514.65,raise,441107,2052-07-28,4.66,2107118421619,Mortgage,Monthly,2021-06-03,Defaulted
54744.4,know,443039,2046-07-17,14.32,3341062957196,Mortgage,Quarterly,2021-05-17,Closed
61421.56,travel,443737,2032-10-20,7.73,2900949285289,Mortgage,Quarterly,2020-07-04,Active
61219.38,company,425607,2031-10-16,6.85,3151036607354,Auto,Monthly,2022-12-26,Active
18894.4,along,402748,2033-07-28,7.11,3871545503471,Auto,Monthly,2024-06-30,Closed
76953.47,question,404355,2033-11-20,5.15,9016544128085,Mortgage,Annually,2020-07-31,Defaulted
56558.4,ok,441140,2053-10-10,3.52,2632048218262,Auto,Annually,2022-10-03,Closed
12423.6,color,419956,2046-06-22,7.77,6414796907351,Mortgage,Annually,2020-07-06,Closed
84819.04,produce,425015,2032-09-17,14.01,2859450475612,Personal,Annually,2020-03-03,Active
15152.2,give,402824,2037-03-21,14.57,6887333586467,Mortgage,Monthly,2021-09-12,Closed
44490.29,receive,424839,2049-04-07,6.59,5439325588550,Mortgage,Annually,2020-11-15,Active
53975.44,spend,436996,2028-04-02,7.85,2544091439946,Personal,Monthly,2021-10-28,Defaulted
18070.98,decide,435099,2052-10-16,13.39,5772810972975,Mortgage,Quarterly,2021-07-06,Active
74297.62,country,442006,2046-11-12,6.12,6972292131003,Personal,Monthly,2023-03-13,Closed
77970.36,political,430257,2028-05-24,11.12,4670690770097,Mortgage,Monthly,2021-08-04,Active
16329.17,address,433047,2034-11-28,8.86,2122181947057,Auto,Monthly,2020-08-13,Defaulted
76597.67,toward,439166,2050-07-02,9.48,9023175117057,Personal,Monthly,2020-03-04,Active
10443.89,yes,442729,2054-07-15,14.88,8615261160959,Personal,Quarterly,2020-08-14,Active
88838.23,until,434091,2053-09-24,3.35,9405486982172,Mortgage,Quarterly,2020-06-22,Active
18581.65,sure,445089,2047-08-07,9.27,4818006318937,Personal,Annually,2023-04-07,Closed
49718.74,gun,403772,2038-06-03,8.53,6422773947004,Personal,Annually,2020-02-26,Active
69932.58,few,417361,2044-04-14,5.98,9754473239185,Auto,Monthly,2024-02-02,Defaulted
40748.65,billion,410932,2049-02-10,10.48,5623392956314,Personal,Annually,2021-03-23,Active
17371.56,ask,435528,2028-10-04,5.95,1860692235340,Mortgage,Annually,2021-08-30,Active
33773.14,despite,409576,2038-09-06,8.23,5248833236160,Mortgage,Annually,2023-02-19,Active
64173.54,cell,419845,2044-11-17,4.49,5347192607567,Mortgage,Monthly,2021-09-11,Defaulted
35895.46,compare,436589,2054-06-16,6.99,9700999979665,Personal,Monthly,2024-01-13,Defaulted
51775.08,including,411039,2039-06-03,7.56,1578945398291,Personal,Annually,2023-10-09,Active
46569.47,various,441183,2034-08-28,13.44,8063935032125,Auto,Monthly,2021-10-01,Active
87472.35,nature,443393,2038-08-29,8.25,1544615468487,Auto,Monthly,2022-04-02,Defaulted
20203.89,author,400579,2030-11-20,11.76,7113587518425,Mortgage,Monthly,2020-10-31,Defaulted
73610.92,several,407098,2047-09-27,6.9,8903561281894,Personal,Quarterly,2020-12-04,Defaulted
68086.63,wall,425886,2046-05-11,13.76,4616061273056,Auto,Annually,2021-05-29,Closed
60548.03,nor,408172,2054-04-22,8.49,7998613041905,Mortgage,Quarterly,2021-12-22,Closed
61980.95,stand,410510,2043-01-09,9.59,6706661667819,Auto,Annually,2021-02-22,Active
52914.45,health,423564,2032-05-11,13.37,5831470261509,Personal,Annually,2020-08-27,Defaulted
58468.7,reveal,429318,2051-03-23,3.47,4321601109696,Auto,Monthly,2023-10-22,Defaulted
6994.26,then,429489,2050-11-12,9.7,5617864945885,Mortgage,Monthly,2021-08-26,Defaulted
97657.43,mother,430291,2042-12-22,6.08,6711678366151,Personal,Monthly,2021-12-20,Active
40458.59,since,448071,2026-03-03,8.23,2687410358384,Personal,Monthly,2023-08-09,Closed
66533.87,end,438390,2035-08-28,10.33,8808800070266,Auto,Annually,2020-12-08,Defaulted
20176.32,work,418173,2028-04-18,5.83,7365555054649,Mortgage,Monthly,2023-08-31,Defaulted
7828.11,significant,428436,2030-04-21,2.71,6800460917007,Personal,Annually,2020-11-09,Defaulted
63937.47,until,412983,2026-05-30,8,3490673082020,Mortgage,Annually,2024-01-19,Defaulted
42013.79,chair,413677,2036-01-30,13.66,2005776684366,Mortgage,Monthly,2022-09-11,Active
33633.49,follow,401643,2031-02-09,6.74,2112635652494,Mortgage,Quarterly,2021-07-14,Defaulted
79324.15,huge,448164,2048-09-09,12.11,2198209440650,Mortgage,Monthly,2024-05-06,Closed
